0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.02	0.00	AARON	
0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	ABBAS	
0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.03	0.00	0.00	ABIGAIL	
0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.06	0.02	ACC	
0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	ACHEBE	
0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	ACROCANTHOSAURUS	
0.01	0.00	0.01	0.00	0.06	0.21	0.02	0.00	0.00	0.00	ACTOR	
0.00	0.00	0.00	0.00	0.07	0.21	0.02	0.00	0.00	0.00	ACTORS	
0.01	0.00	0.00	0.00	0.02	0.16	0.02	0.03	0.00	0.00	ACTRESS	
0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	ADIGA	
0.01	0.00	0.00	0.03	0.00	0.00	0.00	0.02	0.00	0.13	ADMIRAL	
0.00	0.11	0.00	0.00	0.01	0.01	0.01	0.00	0.00	0.00	ADULTS	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	ADYS	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	AFT	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	AGRIPPA	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	AHANDA	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	AHMEDABAD	
0.00	0.00	0.00	0.00	0.02	0.00	0.01	0.00	0.00	0.00	AINGER	
0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	AIP	
0.01	0.00	0.02	0.01	0.00	0.01	0.01	0.00	0.00	0.26	AIRCRAFT	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	AIRCREW	
0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	AIRDRAWNDAGGER	
0.01	0.00	0.00	0.00	0.00	0.08	0.02	0.00	0.00	0.00	AIRED	
0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	AIRPLAY	
0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	AKADEMI	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	ALAMO	
